wavenumber,n1,n2,n3
887.11,2.1305,2.9936,3.3432
889.04,2.1478,3.0312,3.3807
890.97,2.1658,3.0697,3.4187
892.89,2.1844,3.1089,3.4568
894.82,2.2037,3.1481,3.4947
896.75,2.2238,3.1867,3.5316
898.68,2.2444,3.2235,3.5668
900.61,2.2657,3.257,3.5993
902.54,2.2875,3.285,3.628
904.47,2.3097,3.3049,3.6516
906.39,2.3319,3.314,3.6684
908.32,2.3536,3.3099,3.6768
910.25,2.3744,3.2907,3.6755
912.18,2.3932,3.256,3.6646
914.11,2.409,3.2066,3.6463
916.04,2.4202,3.1451,3.6251
917.96,2.4251,3.0755,3.6069
919.89,2.4226,3.0029,3.5976
921.82,2.4123,2.9319,3.6007
923.75,2.3952,2.8648,3.6168
925.68,2.374,2.8008,3.6437
927.61,2.3519,2.7368,3.6769
929.54,2.3315,2.6697,3.7104
931.46,2.3137,2.5982,3.7364
933.39,2.2983,2.5236,3.7453
935.32,2.2844,2.448,3.7263
937.25,2.271,2.3739,3.6701
939.18,2.2576,2.3019,3.5721
941.11,2.2446,2.2317,3.4371
943.04,2.2321,2.1621,3.2799
944.96,2.2197,2.0926,3.1208
946.89,2.2061,2.0239,2.9793
948.82,2.1891,1.9588,2.8677
950.75,2.1658,1.9011,2.7894
952.68,2.1342,1.8552,2.7406
954.61,2.0941,1.8233,2.7129
956.53,2.0479,1.8051,2.6963
958.46,2.0001,1.797,2.6812
960.39,1.9554,1.794,2.6611
962.32,1.9167,1.7908,2.6335
964.25,1.8847,1.7842,2.5988
966.18,1.8578,1.773,2.5585
968.11,1.8336,1.7583,2.5142
970.03,1.8101,1.7416,2.4664
971.96,1.7858,1.7245,2.415
973.89,1.7599,1.7079,2.3594
975.82,1.7323,1.6917,2.2993
977.75,1.7035,1.6751,2.2349
979.68,1.6738,1.6566,2.1671
981.61,1.6439,1.6345,2.0972
983.53,1.6144,1.6073,2.0267
985.46,1.5858,1.574,1.9573
987.39,1.5586,1.5341,1.8906
989.32,1.5333,1.4884,1.8279
991.25,1.51,1.4381,1.7704
993.18,1.4886,1.3851,1.7189
995.1,1.469,1.3312,1.6742
997.03,1.4511,1.278,1.6368
998.96,1.4346,1.2265,1.6067
1000.9,1.4195,1.1773,1.5841
1002.8,1.4056,1.1307,1.5683
1004.7,1.3929,1.0871,1.5589
1006.7,1.3813,1.0463,1.555
1008.6,1.3704,1.0086,1.556
1010.5,1.36,0.97381,1.5611
1012.5,1.3496,0.94185,1.5695
1014.4,1.3393,0.91256,1.5805
1016.3,1.3289,0.88581,1.5926
1018.2,1.3191,0.86142,1.6046
1020.2,1.3103,0.83928,1.6147
1022.1,1.3032,0.81924,1.6212
1024,1.2985,0.8012,1.6228
1026,1.2967,0.78506,1.6181
1027.9,1.298,0.77076,1.6067
1029.8,1.3026,0.75821,1.5884
1031.7,1.3104,0.74737,1.5635
1033.7,1.3213,0.73819,1.5328
1035.6,1.335,0.73063,1.4973
1037.5,1.3514,0.72467,1.4584
1039.5,1.3701,0.72028,1.4174
1041.4,1.3909,0.71743,1.3758
1043.3,1.4133,0.71612,1.3349
1045.2,1.4373,0.71631,1.2957
1047.2,1.4625,0.71798,1.2592
1049.1,1.4886,0.72111,1.2261
1051,1.5154,0.72565,1.1969
1053,1.5427,0.73153,1.1721
1054.9,1.5702,0.73869,1.1519
1056.8,1.5977,0.74702,1.1364
1058.7,1.6249,0.7564,1.1259
1060.7,1.6515,0.7667,1.1202
1062.6,1.6771,0.77777,1.1193
1064.5,1.7015,0.78945,1.123
1066.5,1.724,0.8016,1.1309
1068.4,1.7442,0.81407,1.1427
1070.3,1.7615,0.82679,1.1577
1072.2,1.775,0.83968,1.1751
1074.2,1.7841,0.85268,1.1939
1076.1,1.7878,0.86578,1.2132
1078,1.7852,0.87897,1.2317
1080,1.7753,0.89223,1.2481
1081.9,1.7572,0.90555,1.2614
1083.8,1.7307,0.91889,1.27
1085.7,1.6957,0.93224,1.2725
1087.7,1.6535,0.94558,1.2672
1089.6,1.605,0.95893,1.2533
1091.5,1.5509,0.97225,1.2312
1093.5,1.4911,0.98557,1.2029
1095.4,1.4264,0.99887,1.1703
1097.3,1.3582,1.0121,1.135
1099.2,1.2882,1.0253,1.0986
1101.2,1.2181,1.0385,1.062
1103.1,1.1495,1.0514,1.0263
1105,1.0836,1.0642,0.99214
1107,1.0214,1.0767,0.95992
1108.9,0.96332,1.0888,0.92996
1110.8,0.90968,1.1005,0.90247
1112.7,0.86046,1.1117,0.87746
1114.7,0.8156,1.1224,0.85491
1116.6,0.77484,1.1326,0.83466
1118.5,0.73796,1.1423,0.81653
1120.5,0.70465,1.1515,0.8002
1122.4,0.67464,1.1604,0.78536
1124.3,0.64763,1.1691,0.77163
1126.2,0.62338,1.1777,0.75876
1128.2,0.60164,1.186,0.74668
1130.1,0.58221,1.1937,0.73555
1132,0.56489,1.2002,0.72563
1134,0.54953,1.2052,0.71722
1135.9,0.53597,1.2084,0.71051
1137.8,0.52411,1.2094,0.7056
1139.7,0.51385,1.2082,0.7025
1141.7,0.5051,1.2049,0.70118
1143.6,0.49781,1.1994,0.70154
1145.5,0.49191,1.1919,0.70348
1147.5,0.48736,1.1825,0.70685
1149.4,0.48409,1.1715,0.71152
1151.3,0.48203,1.1592,0.71731
1153.2,0.48104,1.1457,0.72404
1155.2,0.48093,1.1313,0.73154
1157.1,0.48138,1.1161,0.73965
1159,0.48196,1.1002,0.74823
1161,0.48211,1.0832,0.75717
1162.9,0.48124,1.0646,0.76643
1164.8,0.47884,1.0436,0.77601
1166.7,0.47461,1.0196,0.78593
1168.7,0.46864,0.99244,0.79622
1170.6,0.46139,0.96283,0.80685
1172.5,0.45353,0.932,0.81776
1174.5,0.44584,0.90131,0.82889
1176.4,0.43898,0.87191,0.84011
1178.3,0.43344,0.84446,0.85137
1180.2,0.42951,0.8193,0.86257
1182.2,0.4273,0.79644,0.87369
1184.1,0.42683,0.77581,0.88466
1186,0.42806,0.75726,0.89547
1188,0.43092,0.74066,0.9061
1189.9,0.43534,0.72586,0.91654
1191.8,0.44126,0.71276,0.92679
1193.7,0.44859,0.70124,0.93685
1195.7,0.45726,0.69126,0.94671
1197.6,0.4672,0.68272,0.95638
1199.5,0.47828,0.67558,0.96586
1201.5,0.49041,0.6698,0.97516
1203.4,0.50344,0.66533,0.98428
1205.3,0.51722,0.66214,0.99323
1207.2,0.53159,0.66021,1.002
1209.2,0.54639,0.65948,1.0106
1211.1,0.56147,0.65994,1.0191
1213,0.57669,0.66155,1.0274
1215,0.59192,0.66425,1.0356
1216.9,0.60708,0.668,1.0436
1218.8,0.62205,0.67274,1.0515
1220.7,0.63679,0.67842,1.0593
1222.7,0.65123,0.68496,1.0669
1224.6,0.66536,0.69229,1.0745
1226.5,0.67912,0.70032,1.0819
1228.5,0.69252,0.70898,1.0892
1230.4,0.70553,0.71817,1.0963
1232.3,0.71817,0.72783,1.1034
1234.2,0.73041,0.73786,1.1104
1236.2,0.74228,0.74819,1.1173
1238.1,0.75377,0.75876,1.124
1240,0.7649,0.7695,1.1307
1242,0.77566,0.78035,1.1373
1243.9,0.78608,0.79127,1.1438
1245.8,0.79616,0.80221,1.1503
1247.7,0.80591,0.81313,1.1566
1249.7,0.81533,0.82401,1.1629
1251.6,0.82446,0.83481,1.169
1253.5,0.83329,0.84551,1.1751
1255.5,0.84184,0.8561,1.1811
1257.4,0.85013,0.86654,1.1871
1259.3,0.85816,0.87684,1.193
1261.2,0.86596,0.88696,1.1988
1263.2,0.87355,0.89691,1.2045
1265.1,0.88092,0.90666,1.2102
1267,0.88812,0.91622,1.2158
1269,0.89513,0.92556,1.2213
1270.9,0.90199,0.93469,1.2268
1272.8,0.9087,0.94361,1.2322
1274.7,0.91527,0.95231,1.2375
1276.7,0.92169,0.9608,1.2428
1278.6,0.928,0.96907,1.248
1280.5,0.93417,0.97715,1.2531
1282.5,0.94022,0.98502,1.2582
1284.4,0.94615,0.9927,1.2633
1286.3,0.95197,1.0002,1.2682
1288.2,0.95766,1.0075,1.2732
1290.2,0.96325,1.0147,1.278
1292.1,0.96872,1.0217,1.2828
1294,0.97407,1.0285,1.2876
1296,0.97932,1.0352,1.2923
1297.9,0.98446,1.0417,1.2969
1299.8,0.98949,1.0481,1.3015
1301.7,0.99442,1.0543,1.3061
1303.7,0.99924,1.0605,1.3106
1305.6,1.004,1.0665,1.315
1307.5,1.0086,1.0724,1.3194
1309.5,1.0131,1.0782,1.3237
1311.4,1.0176,1.0838,1.328
1313.3,1.0219,1.0894,1.3323
1315.2,1.0262,1.0948,1.3365
1317.2,1.0303,1.1002,1.3407
1319.1,1.0344,1.1054,1.3448
1321,1.0384,1.1106,1.3488
1322.9,1.0423,1.1157,1.3529
1324.9,1.0462,1.1207,1.3568
1326.8,1.05,1.1256,1.3608
1328.7,1.0536,1.1304,1.3647
1330.7,1.0573,1.1351,1.3685
1332.6,1.0608,1.1398,1.3723
1334.5,1.0643,1.1443,1.3761
1336.4,1.0677,1.1489,1.3798
1338.4,1.0711,1.1533,1.3835
1340.3,1.0744,1.1576,1.3871
1342.2,1.0776,1.1619,1.3908
1344.2,1.0808,1.1662,1.3943
1346.1,1.0839,1.1703,1.3979
1348,1.087,1.1744,1.4014
1349.9,1.09,1.1785,1.4048
1351.9,1.0929,1.1824,1.4082
1353.8,1.0958,1.1863,1.4116
1355.7,1.0987,1.1902,1.415
1357.7,1.1015,1.194,1.4183
1359.6,1.1042,1.1977,1.4216
1361.5,1.107,1.2014,1.4248
1363.4,1.1096,1.2051,1.428
1365.4,1.1122,1.2087,1.4312
1367.3,1.1148,1.2122,1.4344
1369.2,1.1174,1.2157,1.4375
1371.2,1.1199,1.2191,1.4406
1373.1,1.1223,1.2225,1.4436
1375,1.1248,1.2258,1.4467
1376.9,1.1271,1.2291,1.4497
1378.9,1.1295,1.2324,1.4526
1380.8,1.1318,1.2356,1.4556
1382.7,1.1341,1.2388,1.4585
1384.7,1.1363,1.2419,1.4614
1386.6,1.1385,1.245,1.4642
1388.5,1.1407,1.248,1.467
1390.4,1.1429,1.251,1.4698
1392.4,1.145,1.254,1.4726
1394.3,1.1471,1.2569,1.4753
1396.2,1.1491,1.2598,1.4781
1398.2,1.1512,1.2627,1.4807
1400.1,1.1532,1.2655,1.4834
1402,1.1552,1.2683,1.486
1403.9,1.1571,1.271,1.4887
1405.9,1.159,1.2738,1.4912
1407.8,1.1609,1.2764,1.4938
1409.7,1.1628,1.2791,1.4963
1411.7,1.1646,1.2817,1.4989
1413.6,1.1665,1.2843,1.5014
1415.5,1.1683,1.2869,1.5038
1417.4,1.17,1.2894,1.5063
1419.4,1.1718,1.2919,1.5087
1421.3,1.1735,1.2944,1.5111
1423.2,1.1752,1.2968,1.5135
1425.2,1.1769,1.2993,1.5158
1427.1,1.1786,1.3017,1.5182
1429,1.1802,1.304,1.5205
1430.9,1.1819,1.3064,1.5228
1432.9,1.1835,1.3087,1.5251
1434.8,1.1851,1.311,1.5273
1436.7,1.1866,1.3132,1.5295
1438.7,1.1882,1.3155,1.5318
1440.6,1.1897,1.3177,1.5339
1442.5,1.1912,1.3199,1.5361
1444.4,1.1927,1.322,1.5383
1446.4,1.1942,1.3242,1.5404
1448.3,1.1957,1.3263,1.5425
1450.2,1.1971,1.3284,1.5446
1452.2,1.1986,1.3305,1.5467
1454.1,1.2,1.3325,1.5488
1456,1.2014,1.3346,1.5508
1457.9,1.2028,1.3366,1.5529
1459.9,1.2041,1.3386,1.5549
1461.8,1.2055,1.3406,1.5569
1463.7,1.2068,1.3425,1.5588
1465.7,1.2082,1.3444,1.5608
1467.6,1.2095,1.3464,1.5627
1469.5,1.2108,1.3483,1.5647
1471.4,1.212,1.3501,1.5666
1473.4,1.2133,1.352,1.5685
1475.3,1.2146,1.3538,1.5704
1477.2,1.2158,1.3557,1.5722
1479.2,1.217,1.3575,1.5741
1481.1,1.2183,1.3593,1.5759
1483,1.2195,1.361,1.5777
1484.9,1.2207,1.3628,1.5795
1486.9,1.2218,1.3645,1.5813
1488.8,1.223,1.3663,1.5831
1490.7,1.2242,1.368,1.5849
1492.7,1.2253,1.3697,1.5866
1494.6,1.2264,1.3714,1.5884
1496.5,1.2276,1.373,1.5901
1498.4,1.2287,1.3747,1.5918
1500.4,1.2298,1.3763,1.5935
1502.3,1.2309,1.3779,1.5952
1504.2,1.232,1.3795,1.5968
1506.2,1.233,1.3811,1.5985
1508.1,1.2341,1.3827,1.6001
1510,1.2351,1.3842,1.6017
