wavenumber,k1,k2,k3
632.55,0.54244,0.053939,1.9818
634.48,0.5152,0.055358,1.8291
636.4,0.49238,0.056972,1.6826
638.33,0.47331,0.058796,1.5424
640.26,0.45738,0.060849,1.4081
642.19,0.44411,0.063149,1.2798
644.12,0.4331,0.065719,1.1575
646.05,0.42402,0.068581,1.0418
647.98,0.41661,0.071762,0.9335
649.9,0.41066,0.075292,0.83378
651.83,0.40606,0.079202,0.74358
653.76,0.40274,0.083528,0.6633
655.69,0.40077,0.088309,0.59258
657.62,0.40039,0.093586,0.53023
659.55,0.40212,0.099406,0.4745
661.47,0.40633,0.10582,0.42367
663.4,0.41054,0.11287,0.37892
665.33,0.4102,0.12063,0.3437
667.26,0.4052,0.12913,0.31717
669.19,0.39719,0.13843,0.29698
671.12,0.38723,0.14857,0.28142
673.05,0.37597,0.15959,0.26946
674.97,0.3638,0.1715,0.26036
676.9,0.35103,0.18432,0.25362
678.83,0.33801,0.19805,0.24875
680.76,0.32558,0.21266,0.24488
682.69,0.31619,0.22816,0.23956
684.62,0.31216,0.24452,0.23049
686.54,0.311,0.26175,0.2202
688.47,0.31078,0.27982,0.21066
690.4,0.31113,0.2987,0.20226
692.33,0.31206,0.3183,0.195
694.26,0.31366,0.33844,0.18882
696.19,0.316,0.35884,0.1836
698.12,0.31912,0.3791,0.17926
700.04,0.32298,0.39869,0.17571
701.97,0.32748,0.41701,0.17289
703.9,0.33236,0.43346,0.17074
705.83,0.33725,0.44759,0.1692
707.76,0.34166,0.45919,0.16824
709.69,0.345,0.4684,0.1678
711.62,0.34675,0.47571,0.16782
713.54,0.34657,0.48188,0.16825
715.47,0.34443,0.48776,0.16898
717.4,0.34063,0.49418,0.16988
719.33,0.33577,0.50189,0.17079
721.26,0.33058,0.51152,0.17148
723.19,0.32577,0.52361,0.17173
725.11,0.32194,0.5385,0.17133
727.04,0.31947,0.55624,0.17013
728.97,0.31847,0.57627,0.16814
730.9,0.31882,0.59718,0.16551
732.83,0.32012,0.61658,0.16252
734.76,0.32178,0.63142,0.15955
736.69,0.32298,0.63902,0.15695
738.61,0.3227,0.63851,0.15501
740.54,0.31996,0.63172,0.15392
742.47,0.3145,0.62289,0.15372
744.4,0.30758,0.61715,0.15419
746.33,0.30218,0.6188,0.15464
748.26,0.30189,0.62879,0.15374
750.19,0.30734,0.64088,0.1501
752.11,0.31107,0.64503,0.14411
754.04,0.30243,0.64322,0.13819
755.97,0.28229,0.64557,0.13406
757.9,0.25915,0.65551,0.13177
759.83,0.23839,0.6707,0.13073
761.76,0.22145,0.68699,0.13048
763.68,0.20817,0.69987,0.13071
765.61,0.19802,0.70522,0.13127
767.54,0.19049,0.69995,0.13209
769.47,0.18518,0.68269,0.13312
771.4,0.18178,0.65397,0.13435
773.33,0.18008,0.6159,0.13579
775.26,0.17983,0.57149,0.13744
777.18,0.1807,0.52405,0.13932
779.11,0.18212,0.47674,0.14145
781.04,0.18307,0.43246,0.14383
782.97,0.18231,0.39364,0.14649
784.9,0.17918,0.36155,0.14942
786.83,0.17411,0.33589,0.1526
788.76,0.1681,0.31546,0.15595
790.68,0.16205,0.29906,0.15935
792.61,0.15644,0.28568,0.16262
794.54,0.15143,0.27459,0.16551
796.47,0.14698,0.26522,0.16776
798.4,0.14291,0.25712,0.16917
800.33,0.13898,0.24995,0.16963
802.25,0.13503,0.24346,0.16923
804.18,0.13095,0.23755,0.16815
806.11,0.12679,0.23219,0.16668
808.04,0.12264,0.22738,0.16506
809.97,0.11864,0.22316,0.16353
811.9,0.1149,0.21956,0.16223
813.83,0.11152,0.21657,0.16124
815.75,0.10853,0.21419,0.1606
817.68,0.10596,0.21239,0.16034
819.61,0.10379,0.21113,0.16044
821.54,0.10199,0.2104,0.1609
823.47,0.10055,0.21016,0.16169
825.4,0.099439,0.21038,0.16279
827.33,0.098618,0.21105,0.16421
829.25,0.098069,0.21214,0.16591
831.18,0.097767,0.21364,0.16791
833.11,0.097696,0.21554,0.17018
835.04,0.097838,0.21784,0.17274
836.97,0.098182,0.22053,0.17557
838.9,0.098717,0.22361,0.1787
840.82,0.099436,0.22709,0.18212
842.75,0.10033,0.23098,0.18584
844.68,0.10141,0.23529,0.18988
846.61,0.10265,0.24003,0.19426
848.54,0.10407,0.24523,0.19899
850.47,0.10567,0.25091,0.2041
852.4,0.10744,0.25709,0.20961
854.32,0.10941,0.26381,0.21556
856.25,0.11156,0.27111,0.22198
858.18,0.11391,0.27903,0.22891
860.11,0.11647,0.28762,0.2364
862.04,0.11926,0.29694,0.2445
863.97,0.12228,0.30706,0.25328
865.9,0.12555,0.31806,0.2628
867.82,0.1291,0.33002,0.27315
869.75,0.13295,0.34306,0.28442
871.68,0.13711,0.35729,0.29672
873.61,0.14163,0.37285,0.31017
875.54,0.14653,0.38991,0.32492
877.47,0.15186,0.40866,0.34114
879.39,0.15766,0.42933,0.35901
881.32,0.16398,0.45218,0.37875
883.25,0.17089,0.47753,0.40064
885.18,0.17847,0.50573,0.42494
887.11,0.18678,0.53724,0.452
889.04,0.19595,0.57257,0.48219
890.97,0.20608,0.61232,0.51588
892.89,0.21731,0.65719,0.55352
894.82,0.2298,0.70799,0.5955
896.75,0.24376,0.76558,0.64222
898.68,0.25941,0.83085,0.69396
900.61,0.27703,0.90454,0.7509
902.54,0.29692,0.98708,0.813
904.47,0.31945,1.0782,0.87995
906.39,0.34503,1.1766,0.95097
908.32,0.37408,1.2801,1.0245
910.25,0.40703,1.3853,1.0979
912.18,0.4442,1.4883,1.1673
914.11,0.48573,1.5848,1.2288
916.04,0.5313,1.6711,1.2795
917.96,0.57993,1.7444,1.3192
919.89,0.62971,1.8043,1.3512
921.82,0.67792,1.853,1.381
923.75,0.7217,1.8947,1.4156
